"siteID","EPT_pct"
"ARIK",0.0563737938039614
"BARC",0.104182804027885
"BIGC",0.356214248569943
"BLDE",0.383957654723127
"BLUE",0.301341589267286
"BLWA",0.0541344437834622
"CARI",0.317709591688814
"COMO",0.295614035087719
"CRAM",0.0984978540772532
"CUPE",0.360308764940239
"FLNT",0.13901549680948
"GUIL",0.343405549220829
"HOPB",0.359205776173285
"KING",0.188748471259682
"LECO",0.372729363071971
"LEWI",0.201814058956916
"LIRO",0.115070527097253
"MART",0.497589716122121
"MAYF",0.164301310043668
"MCDI",0.148861646234676
"MCRA",0.52719298245614
"OKSR",0.208087367178276
"POSE",0.303017424564386
"PRIN",0.185812751292361
"PRLA",0.0729499467518637
"PRPO",0.0377728035814214
"REDB",0.30008865248227
"SUGG",0.110477060031956
"SYCA",0.0781395348837209
"TOMB",0.0832187070151307
"TOOK",0.0456934896886373
"WALK",0.278184076169449
"WLOU",0.294987922705314
